source_id,destination_id,units_shipped,total_cost
Sdc1f136,D7cefff4,10283,1881.04
Sdc1f136,De569c11,13009,-157.97
Sdc1f136,Dc20a1c2,10223,2300.17
Sdc1f136,De569c11,10931,1616.23
Sdc1f136,D98c2300,11998,-51.42
Sdc1f136,D3034469,15682,4455.53
Sdc1f136,D3034469,16958,748.15
Sdc1f136,De569c11,19129,1298.04
Sdc1f136,D98c2300,10484,688.95
Sdc1f136,De569c11,18778,2213.12
Sdc1f136,Dc20a1c2,18218,819.81
Sdc1f136,D3034469,16283,67.05
Sdc1f136,D7cefff4,17986,772.08
Sdc1f136,D7cefff4,15361,966.62
Sdc1f136,D98c2300,14818,381.03
Sdc1f136,De569c11,15030,118.09
Sdc1f136,D3034469,12087,412.38
Sdc1f136,D3034469,15175,-89.26
Sdc1f136,D7cefff4,13597,39.8
Sdc1f136,D3034469,13267,54.63
Sdc1f136,De569c11,12697,226.73
Sdc1f136,D04f9f83,10793,-53.96
Sdc1f136,Dc20a1c2,14357,1076.77
Sdc1f136,De569c11,19584,-41.97
Sdc1f136,Dc20a1c2,15882,1508.79
Sdc1f136,D3034469,18697,1759.72
Sdc1f136,D98c2300,11237,1300.28
Sdc1f136,De569c11,10383,2573.5
Sdc1f136,D7cefff4,19781,3618.48
Sdc1f136,D7cefff4,12440,160.81
Sdc1f136,De569c11,11766,563.09
Sdc1f136,D04f9f83,18838,-94.19
Sdc1f136,Dc20a1c2,14731,1841.37
Sdc1f136,De569c11,18874,4300.58
Sdc1f136,D7cefff4,14712,631.54
Sdc1f136,Dc20a1c2,14873,2454.04
Sdc1f136,De569c11,11812,4699.49
Sdc1f136,D04f9f83,15989,719.51
Sdc1f136,Dc20a1c2,12398,1177.81
Sdc1f136,D7cefff4,17856,409.38
Sdc1f136,De569c11,15634,279.18
Sdc1f136,D3034469,16271,3483.91
Sdc1f136,Dc20a1c2,15549,-77.75
Sdc1f136,D98c2300,11325,2782.71
Sdc1f136,D98c2300,13358,76.33
Sdc1f136,D3034469,11352,46.74
Sdc1f136,D98c2300,15766,-67.57
Sdc1f136,D7cefff4,10826,572.99
Sdc1f136,De569c11,17417,15812.15
Sdc1f136,D7cefff4,14266,1325.69
Sdc1f136,Dc20a1c2,11161,502.24
Sdc1f136,D3034469,14872,804.84
Sdc1f136,D98c2300,15859,-226.56
Sdc1f136,D3034469,17679,-103.99
Sdc1f136,D7cefff4,11810,1451.77
Sdc1f136,D04f9f83,12783,191.75
Sdc1f136,D7cefff4,14575,1500.16
Sdc1f136,D7cefff4,17781,52.04
Sdc1f136,D04f9f83,17785,978.18
Sdc1f136,De569c11,19192,150.79
Sdc1f136,D3034469,15201,2342.74
Sdc1f136,D98c2300,11754,772.41
Sdc1f136,D7cefff4,19387,1607.7
Sdc1f136,D04f9f83,11277,394.7
Sdc1f136,D3034469,17027,1091.73
Sdc1f136,D98c2300,11149,-47.78
Sdc1f136,D7cefff4,10466,30.63
Sdc1f136,D04f9f83,19091,2004.56
Sdc1f136,De569c11,12794,228.46
Sdc1f136,D7cefff4,13275,702.6
Sdc1f136,Dc20a1c2,13002,455.07
Sdc1f136,De569c11,17381,1527.05
Sdc1f136,D98c2300,12695,580.34
Sdc1f136,De569c11,18936,3746.62
Sdc1f136,D04f9f83,14926,2761.31
Sdc1f136,D04f9f83,17067,938.68
Sdc1f136,D04f9f83,18815,470.38
Sdc1f136,D7cefff4,11760,504.82
Sdc1f136,Dc20a1c2,15367,998.85
Sdc1f136,D98c2300,11727,770.63
Sdc1f136,D3034469,18550,3044.38
Sdc1f136,Dc20a1c2,12603,8128.94
Sdc1f136,De569c11,15370,2887.36
Sdc1f136,D3034469,16006,5988.13
Sdc1f136,D98c2300,14298,-61.28
Sdc1f136,D3034469,19914,-117.14
Sdc1f136,Dc20a1c2,15623,1484.18
Sdc1f136,De569c11,11554,784.02
Sdc1f136,Dc20a1c2,19973,1897.43
Sdc1f136,D7cefff4,12742,546.97
Sdc1f136,D04f9f83,13432,335.8
Sdc1f136,Dc20a1c2,10863,162.94
Sdc1f136,D3034469,12216,1394.06
Sdc1f136,D04f9f83,17387,-86.93
Sdc1f136,Dc20a1c2,18318,3572.01
Sdc1f136,D98c2300,13321,76.12
Sdc1f136,D7cefff4,12544,162.15
Sdc1f136,D7cefff4,17307,916.0
Sdc1f136,De569c11,10396,2680.68
Sdc1f136,D04f9f83,17137,1970.76
Sdc1f136,De569c11,19850,-42.54
Sdc1f136,D04f9f83,19399,1260.94
Sdc1f136,D04f9f83,16982,594.37
Sdc1f136,D98c2300,17165,613.04
Sdc1f136,D7cefff4,13535,2069.86
Sdc1f136,De569c11,17338,1523.27
Sdc1f136,D3034469,11475,162.0
Sdc1f136,D04f9f83,14381,647.15
Sdc1f136,D3034469,19378,1436.25
Sdc1f136,De569c11,18658,3691.62
Sdc1f136,De569c11,14853,5760.84
