source_id,destination_id,units_shipped,total_cost
S8c44812,D3034469,12141,303.53
S8c44812,De569c11,19103,1709.47
S8c44812,D98c2300,11473,685.01
S8c44812,De569c11,13909,410.14
S8c44812,D04f9f83,15133,7629.85
S8c44812,D98c2300,16482,489.61
S8c44812,D7cefff4,10304,1429.35
S8c44812,De569c11,15556,1547.62
S8c44812,D7cefff4,16413,307.22
S8c44812,D7cefff4,13471,386.86
S8c44812,D04f9f83,16022,707.95
S8c44812,D98c2300,13555,1622.61
S8c44812,D98c2300,10159,301.78
S8c44812,D98c2300,12941,2325.57
S8c44812,D04f9f83,19442,664.65
S8c44812,D7cefff4,16591,2633.29
S8c44812,Dc20a1c2,11234,1111.88
S8c44812,D04f9f83,10477,-165.68
S8c44812,D3034469,18036,1893.78
S8c44812,D04f9f83,19720,-706.25
S8c44812,D98c2300,15620,151.61
S8c44812,D7cefff4,14828,10657.15
S8c44812,De569c11,17876,169.59
S8c44812,D98c2300,19187,378.1
S8c44812,D7cefff4,11704,2442.83
S8c44812,D3034469,18523,2315.38
S8c44812,D98c2300,19843,9121.94
S8c44812,D98c2300,17615,347.12
S8c44812,D3034469,12390,1300.95
S8c44812,De569c11,10161,1010.89
S8c44812,D3034469,12287,1167.27
S8c44812,D04f9f83,11306,-178.79
S8c44812,D98c2300,12201,1460.53
S8c44812,Dc20a1c2,10622,201.55
S8c44812,D04f9f83,14351,1208.15
S8c44812,D04f9f83,12531,1681.49
S8c44812,De569c11,17895,2675.07
S8c44812,D7cefff4,19286,1711.01
S8c44812,D3034469,19011,665.39
S8c44812,D98c2300,15735,2512.97
S8c44812,Dc20a1c2,12793,754.46
S8c44812,D04f9f83,13438,1803.19
S8c44812,De569c11,16470,2132.65
S8c44812,D04f9f83,13654,4426.44
S8c44812,Dc20a1c2,13196,382.35
S8c44812,Dc20a1c2,19224,1710.44
S8c44812,D7cefff4,12966,1020.66
S8c44812,D04f9f83,13774,1848.28
S8c44812,D3034469,12752,701.36
S8c44812,D98c2300,12342,490.05
S8c44812,Dc20a1c2,18151,1433.46
S8c44812,Dc20a1c2,11119,1434.07
S8c44812,De569c11,11005,1314.96
S8c44812,D3034469,11595,521.78
S8c44812,D04f9f83,12712,4375.29
S8c44812,Dc20a1c2,15248,1204.2
S8c44812,D04f9f83,14626,1523.83
S8c44812,D7cefff4,11833,2706.42
S8c44812,D04f9f83,17962,9415.43
S8c44812,Dc20a1c2,19450,563.55
S8c44812,D98c2300,10089,299.7
S8c44812,Dc20a1c2,10770,2035.25
S8c44812,D98c2300,18306,1825.22
S8c44812,De569c11,11618,923.48
S8c44812,De569c11,14645,871.19
S8c44812,De569c11,16750,2336.41
S8c44812,De569c11,19154,181.72
S8c44812,Dc20a1c2,13928,682.11
S8c44812,Dc20a1c2,10864,532.06
S8c44812,D7cefff4,19744,1159.33
S8c44812,D7cefff4,12882,1014.04
S8c44812,D3034469,13098,1375.29
S8c44812,D04f9f83,19856,2068.72
S8c44812,Dc20a1c2,10614,201.39
S8c44812,D7cefff4,18852,2992.15
S8c44812,D98c2300,14382,1433.97
S8c44812,D3034469,17387,434.68
S8c44812,D98c2300,11510,687.21
S8c44812,Dc20a1c2,11344,1009.33
S8c44812,D3034469,14092,634.14
S8c44812,D98c2300,13475,7003.04
S8c44812,D3034469,11583,868.73
S8c44812,Dc20a1c2,15918,-16.33
S8c44812,De569c11,15712,1877.38
S8c44812,D04f9f83,14640,-231.52
S8c44812,D3034469,11843,769.8
S8c44812,De569c11,14158,1550.12
S8c44812,D04f9f83,15049,-237.98
S8c44812,D7cefff4,15991,1738.51
S8c44812,D7cefff4,18142,2879.46
S8c44812,D7cefff4,15751,1082.38
S8c44812,De569c11,14070,2103.28
S8c44812,D98c2300,14359,857.32
S8c44812,Dc20a1c2,12460,1607.02
S8c44812,Dc20a1c2,11325,441.38
S8c44812,D7cefff4,12996,2192.66
S8c44812,De569c11,13637,811.23
S8c44812,D04f9f83,12746,563.2
S8c44812,D7cefff4,10574,3052.9
S8c44812,D04f9f83,14123,59.12
S8c44812,D3034469,10378,2127.49
S8c44812,D3034469,11465,1662.43
S8c44812,D04f9f83,14551,1516.01
S8c44812,D04f9f83,11582,5839.48
S8c44812,D3034469,19304,1447.8
S8c44812,D98c2300,11981,1074.77
S8c44812,Dc20a1c2,19514,175.13
S8c44812,D98c2300,17893,1247.25
S8c44812,D98c2300,13541,1891.76
S8c44812,Dc20a1c2,11590,1031.21
S8c44812,D04f9f83,11063,6020.33
S8c44812,De569c11,16495,1476.09
S8c44812,D98c2300,19096,1331.1
S8c44812,D3034469,17359,2169.88
S8c44812,D04f9f83,10918,4303.72
S8c44812,D3034469,19174,1629.79
S8c44812,D04f9f83,11056,156.84
S8c44812,De569c11,17956,888.59
S8c44812,D3034469,14647,219.71
S8c44812,D98c2300,17502,2970.19
S8c44812,D04f9f83,13479,1134.74
S8c44812,Dc20a1c2,18607,-19.08
S8c44812,D04f9f83,13822,2269.38
S8c44812,Dc20a1c2,17402,156.17
S8c44812,D7cefff4,17147,1692.72
S8c44812,De569c11,13931,132.17
S8c44812,D7cefff4,15222,2111.56
S8c44812,D7cefff4,15122,283.05
S8c44812,D7cefff4,18975,924.42
S8c44812,D04f9f83,13771,-355.48
S8c44812,D04f9f83,17780,74.43
S8c44812,De569c11,17712,1230.76
S8c44812,D04f9f83,10740,152.36
S8c44812,D98c2300,18715,4111.8
S8c44812,D3034469,12790,447.65
S8c44812,Dc20a1c2,10382,93.17
S8c44812,De569c11,11263,332.11
S8c44812,D3034469,17915,985.33
S8c44812,Dc20a1c2,12256,477.67
S8c44812,D7cefff4,11159,1882.72
S8c44812,D04f9f83,10437,-373.79
S8c44812,De569c11,10882,1517.9
S8c44812,D7cefff4,10038,1693.59
S8c44812,Dc20a1c2,19036,741.92
S8c44812,D7cefff4,10389,610.02
S8c44812,De569c11,17823,347.32
S8c44812,Dc20a1c2,18400,1269.13
S8c44812,Dc20a1c2,16892,1334.03
S8c44812,D98c2300,13070,780.36
S8c44812,Dc20a1c2,11748,810.31
S8c44812,D04f9f83,15475,-399.47
S8c44812,D98c2300,19055,184.95
